Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,relationship_type_count,total_relationship_count,unique_relationship_types
brother,Darcy,Gardiner,Q0002,Q0014,1,1,1
husband,Elizabeth,Darcy,Q0001,Q0002,1,34,9
friends,Elizabeth,Darcy,Q0001,Q0002,2,34,9
brother,Georgiana,Elizabeth,Q0016,Q0001,2,2,1
wife,Lydia,Elizabeth,Q0008,Q0001,1,3,3
father,Jane,Lydia,Q0005,Q0008,2,7,6
friend,Gardiner,Jane,Q0014,Q0005,1,2,2
father,Jane,Mary,Q0005,Q0006,1,1,1
father,Lydia,Bennet,Q0008,Q0003,1,11,7
brother,Lydia,Bennet,Q0008,Q0003,1,11,7
brother,Lydia,Gardiner,Q0008,Q0014,1,2,2
wife,Lydia,Jane,Q0008,Q0005,1,7,6
father,Elizabeth,Jane,Q0001,Q0005,2,23,8
mother,Elizabeth,Mary,Q0001,Q0006,1,1,1
wife,Gardiner,Bennet,Q0014,Q0003,1,4,4
brother,Gardiner,Bennet,Q0014,Q0003,1,4,4
father,Elizabeth,Gardiner,Q0001,Q0014,1,2,2
father,Gardiner,Bennet,Q0014,Q0003,1,4,4
mother,Bennet,Kitty,Q0003,Q0007,1,2,2
father,Gardiner,Jane,Q0014,Q0005,1,2,2
sister,Elizabeth,Gardiner,Q0001,Q0014,1,2,2
sister,Darcy,Lydia,Q0002,Q0008,2,3,2
couple,Lydia,Gardiner,Q0008,Q0014,1,2,2
daughters,Bennet,Gardiner,Q0003,Q0014,1,4,4
couple,Bennet,Elizabeth,Q0003,Q0001,1,24,9
mother,Lydia,Jane,Q0008,Q0005,1,7,6
sister,Darcy,Bennet,Q0002,Q0003,1,6,6
husband,Bennet,Lydia,Q0003,Q0008,2,11,7
friend,Jane,Elizabeth,Q0005,Q0001,2,23,8
daughters,Bennet,Jane,Q0003,Q0005,1,8,5
mother,Kitty,Jane,Q0007,Q0005,1,2,2
mother,Elizabeth,Kitty,Q0001,Q0007,2,4,3
daughter,Bennet,Elizabeth,Q0003,Q0001,2,24,9
wife,Bennet,Jane,Q0003,Q0005,1,8,5
daughter,Darcy,Catherine,Q0002,Q0007,1,1,1
daughter,Darcy,Lady Catherine,Q0002,Q0013,1,3,3
friends,Catherine,Elizabeth,Q0007,Q0001,1,4,3
sister,Jane,Catherine,Q0005,Q0007,1,2,2
father,Catherine,Elizabeth,Q0007,Q0001,1,4,3
son,Bennet,Elizabeth,Q0003,Q0001,1,24,9
wife,Elizabeth,Darcy,Q0001,Q0002,1,34,9
brother,Darcy,Collins,Q0002,Q0012,1,1,1
husband,Darcy,Bennet,Q0002,Q0003,1,6,6
